20,40,60,zip,total,0,80
1094,1312,945,1612,4845,1274,220
7469,9265,7120,1701,32098,6421,1823
12595,9795,4876,1702,39226,10576,1384
82,264,111,1718,716,243,16
1196,1951,973,1719,5546,1317,109
3924,8271,3652,1720,22680,6137,696
3800,5485,3255,1721,17478,4427,511
2681,4470,2172,1730,14031,3717,991
723,311,16,1731,2012,962,0
821,1739,929,1740,5167,1546,132
576,1763,1314,1741,5160,1325,182
2899,6548,3854,1742,19383,4839,1243
128,80,70,1745,501,203,20
2738,4832,2433,1746,14480,4004,473
1056,1846,1040,1747,5955,1610,403
3077,6159,2003,1748,16720,5020,461
4239,6440,4147,1749,19843,4359,658
10883,11876,6652,1752,39771,9169,1191
2402,3477,1854,1754,10560,2433,394
931,2277,1121,1756,5995,1599,67
7074,8308,4891,1757,28694,7383,1038
8304,10480,6497,1760,35715,9177,1257
518,1445,760,1770,4302,1368,211
1563,3484,1441,1772,9520,2781,251
522,1680,1109,1773,4791,1028,452
1172,2287,1373,1775,7061,1933,296
2304,6584,3441,1776,18697,5808,560
1999,4599,2654,1778,13850,3896,702
11529,11174,6901,1801,40375,8661,2110
6468,7253,5235,1803,26103,5819,1328
6436,11420,5958,1810,35375,10173,1388
8495,9390,5951,1821,32348,7381,1131
5910,8087,4976,1824,25961,5724,1264
7885,8900,5734,1826,30948,7525,904
510,1244,619,1827,3337,865,99
6936,7599,4204,1830,26524,6562,1223
6425,6611,3581,1832,23372,6091,664
1444,3067,1633,1833,8569,2249,176
1344,2055,1513,1834,6697,1614,171
3476,4143,1876,1835,13047,3245,307
1497,1302,871,1840,5248,1483,95
15193,11447,5722,1841,48295,14623,1310
9016,5813,3032,1843,25942,7482,599
13011,14224,8122,1844,49587,12350,1880
6834,9132,4417,1845,30170,8294,1493
5919,3659,1663,1850,16890,5276,373
9524,8168,4072,1851,29849,7422,663
10449,9692,5147,1852,34756,8462,1006
10013,6667,3402,1854,29561,8468,1011
1045,2496,1469,1860,6752,1507,235
3034,3437,1673,1862,10676,2233,299
1990,2747,1868,1863,9106,2016,485
2926,5329,2967,1864,15598,3874,502
5275,7609,4312,1867,24894,6443,1255
6576,9482,6199,1876,30433,6781,1395
3053,4301,1714,1879,12305,2896,341
6313,8188,5182,1880,26450,5457,1310
3747,8717,3893,1886,24087,7240,490
5488,7121,3833,1887,23538,5754,1342
3574,7265,3812,1890,22579,6647,1281
561,398,462,1901,1878,395,62
15211,11987,6316,1902,48218,13419,1285
5026,4755,2775,1904,17320,4065,699
7772,6561,2968,1905,25590,7525,764
6413,8345,5981,1906,28037,5826,1472
2668,4132,3201,1907,14758,3807,950
616,1081,989,1908,3488,518,284
3661,5877,2992,1913,17218,4005,683
11418,11475,7564,1915,41431,8916,2058
1099,3003,1526,1921,8228,2177,423
490,969,645,1922,2812,632,76
5963,7526,5769,1923,27391,6091,2042
668,1091,821,1929,3687,905,202
6293,8837,7549,1930,29858,5545,1634
58,78,0,1937,136,0,0
2361,4249,3156,1938,13810,3186,858
2312,4095,2655,1940,13425,3497,866
636,1780,1489,1944,5327,1151,271
2286,6865,4837,1945,20393,5242,1163
2557,2890,1868,1949,9656,1977,364
2996,6021,4090,1950,17890,3764,1019
530,1605,1057,1951,4152,852,108
2170,2790,2107,1952,9035,1655,313
13094,13958,10558,1960,52313,10505,4198
1047,2028,2106,1966,7184,1414,589
1370,2003,1179,1969,6232,1511,169
14678,10828,6861,1970,42991,8827,1797
1615,2447,1325,1982,7991,2351,253
832,2038,1435,1983,6496,1690,501
1309,1115,699,1984,5179,1722,334
686,1447,1040,1985,4545,1230,142
4361,5305,2772,2019,16929,4027,464
5525,6299,4172,2021,22829,5607,1226
1268,2705,1644,2025,8393,2334,442
6355,7039,4530,2026,25362,5459,1979
787,2034,1131,2030,5922,1776,194
925,1481,824,2032,4410,1117,63
4381,4897,3264,2035,17448,3953,953
6763,10520,4890,2038,32843,9650,1020
3514,6962,4441,2043,23047,6301,1829
1842,3429,3135,2045,10402,1541,455
0,14,36,2047,65,15,0
5819,8060,3027,2048,23678,6374,398
4871,8138,5417,2050,26032,6704,902
1751,4304,2018,2052,12610,4145,392
2797,4288,1947,2053,13162,3661,469
1665,2810,1642,2054,8144,1846,181
2217,4018,2031,2056,11388,2900,222
1725,3209,2162,2061,10897,3225,576
7662,8120,4953,2062,29121,6618,1768
2604,5664,4232,2066,18042,4666,876
2691,6087,3337,2067,18148,5344,689
511,538,232,2071,1572,276,15
6702,8129,5872,2072,28338,6277,1358
3484,5911,3467,2081,19358,5394,1102
2163,5177,2581,2090,15612,4425,1266
2227,3595,1932,2093,11597,3286,557
1689,921,639,2108,4211,854,108
2170,866,553,2109,4051,304,158
555,752,615,2110,2270,200,148
3048,1564,1025,2111,7452,1492,323
5206,1020,683,2113,7464,333,222
7420,2315,1840,2114,13247,1197,475
13940,3166,2199,2115,29244,9176,763
9480,5013,4334,2116,23215,3529,859
12017,6748,3314,2118,27325,4452,794
8784,7312,4227,2119,28152,7143,686
8120,2297,1366,2120,15719,3654,282
8335,7106,3861,2121,28479,8586,591
9194,6404,2973,2122,24643,5566,506
17690,13781,7990,2124,55074,14243,1370
14259,8176,4094,2125,35254,8077,648
8499,7863,5097,2126,29141,7122,560
19928,7589,3808,2127,37257,4945,987
17936,12269,4748,2128,46655,10501,1201
7332,4853,2562,2129,18901,3620,534
16763,9243,5185,2130,39435,6747,1497
10069,9045,5162,2131,32819,7417,1126
6703,8160,5774,2132,28505,6088,1780
13008,1947,1288,2134,18057,1494,320
24432,6282,5058,2135,42644,4862,2010
8775,9763,4772,2136,33084,8413,1361
17427,5663,4530,2138,37668,8553,1495
19696,6025,4077,2139,36979,6491,690
8240,4505,2766,2140,19737,3507,719
7426,2350,1897,2141,13664,1709,282
1559,359,497,2142,2929,455,59
15544,4984,2809,2143,26773,2810,626
14389,4306,2694,2144,24682,2425,868
11218,6565,3092,2145,26430,4722,833
22433,16306,8580,2148,61375,12355,1701
13763,12405,6038,2149,44993,11533,1254
13876,9297,3893,2150,39263,11037,1160
16312,15093,9031,2151,53873,11302,2135
4598,5368,3936,2152,18391,3701,788
22673,14143,8820,2155,59779,11394,2749
2090,67,0,2163,2569,412,0
18996,15053,9224,2169,56541,10539,2729
6081,6023,3101,2170,19434,3579,650
5854,4775,3780,2171,17849,2722,718
7830,8077,4868,2176,28132,6083,1274
5381,6652,4257,2180,21967,4299,1378
8601,10745,6634,2184,37082,8900,2202
6259,7403,4415,2186,27527,8021,1429
4869,3743,3025,2188,15301,2977,687
3972,4300,2907,2189,15146,3331,636
4165,5178,3519,2190,17415,3941,612
1694,2478,1864,2191,8028,1558,434
450,233,378,2199,1177,85,31
0,0,27,2203,27,0,0
1394,752,288,2210,2609,175,0
14593,1740,787,2215,25023,7750,153
17378,15028,9074,2301,61320,17611,2229
9375,9098,5151,2302,33841,9065,1152
1204,1371,918,2322,4468,821,154
8226,7256,4267,2324,27434,6852,833
2048,3678,2689,2330,11617,2686,516
2221,4948,3383,2332,15572,4330,690
3322,4143,2498,2333,14301,3869,469
1895,2459,1303,2338,7739,1748,334
2625,4408,2730,2339,14328,4074,491
2246,3367,2184,2341,10560,2450,313
2228,3766,2012,2343,10753,2251,496
5342,7114,5493,2346,24166,5468,749
2078,3875,2289,2347,11292,2689,361
4447,4864,3028,2351,16275,3587,349
2786,4025,2319,2356,12885,3436,319
472,60,37,2357,1178,609,0
3737,6078,3208,2359,18230,4635,572
